Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter,Case Thickness,Band Width,Dial Color,Crystal Material,Complications,Power Reserve,Price,Complication_Score,Luxury_Index,Movement_Complexity,Case_Proportion,Dial_Score,Material_Match,Has_Power_Reserve,Case_Size_Category,Has_Complication,Brand_Tier_encoded,Water_Tier_encoded,Brand_Tier_Mid-Range,Brand_Tier_Other,Brand_Tier_Very High-End,Water_Tier_Professional,Water_Tier_Standard,Brand_Case,Material_Luxury,HighEnd_Dial,Power_Material
Hamilton,Khaki Field,Stainless Steel,NATO,Automatic,100,38.0,9.7,20.0,Black,Sapphire,['None'],80.0,595.0,0,9,1,3.9175217345136764,3,0,1,1,0,2,2,False,True,False,False,True,7.835043469027353,0,0,0
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,225,42.0,13.2,22.0,Black,Sapphire,['Date'],72.0,7500.0,1,12,1,3.1818157713516886,3,0,1,2,1,1,1,True,False,False,True,False,3.1818157713516886,0,0,0
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60,41.0,15.3,22.0,Black,Sapphire,['Date'],72.0,5400.0,1,12,1,2.6797368106295356,3,0,1,2,1,0,2,False,False,False,False,True,0.0,0,0,0
Patek Philippe,Calatrava,White Gold,Leather,Manual,30,37.0,7.7,20.0,White,Sapphire,['None'],44.0,25000.0,0,14,1,4.805188564690176,4,0,1,1,0,3,0,False,False,True,False,False,14.415565694070526,0,4,0
Hublot,Big Bang,Carbon Fiber,Rubber,Automatic,100,44.0,14.5,25.0,Black,Sapphire,['Chronograph'],72.0,15000.0,3,15,1,3.034480665875403,3,0,1,2,1,1,2,True,False,False,False,True,3.034480665875403,0,0,0
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50,38.0,12.6,20.0,Silver,Sapphire,['Chronograph'],50.0,7500.0,3,14,1,3.015870622324903,3,0,1,1,1,2,0,False,True,False,False,False,6.031741244649806,0,0,0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,9.8,20.0,Blue,Sapphire,['Date'],60.0,25000.0,1,10,1,4.18366920033755,5,1,1,2,1,3,0,False,False,True,False,False,12.55100760101265,10,5,1
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,50,41.0,11.0,22.0,Blue,Sapphire,['Date'],40.0,18000.0,1,10,1,3.727269338846056,5,1,1,2,1,3,0,False,False,True,False,False,11.181808016538167,10,5,1
Breguet,Classique,White Gold,Leather,Automatic,30,39.0,8.65,21.0,Silver,Sapphire,['None'],55.0,20000.0,0,14,1,4.508665307901378,3,0,1,1,0,0,0,False,False,False,False,False,0.0,0,0,0
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100,42.0,12.8,22.0,Blue,Sapphire,['Date'],60.0,8500.0,1,11,1,3.2812474365254403,5,0,1,2,1,1,2,True,False,False,False,True,3.2812474365254403,0,0,0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,225,45.0,15.5,23.0,Black,Sapphire,['None'],102.5,10500.0,0,9,1,2.903223933403914,3,0,1,2,0,0,1,False,False,False,True,False,0.0,0,0,0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,42.0,10.88,22.0,Black,Sapphire,['Date'],54.0,9000.0,1,10,1,3.8602905695858736,3,1,1,2,1,0,2,False,False,False,False,True,0.0,10,0,1
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.8,8.3,21.0,Blue,Sapphire,['Date'],55.0,32750.0,1,10,1,4.915656728124423,5,1,1,2,1,3,2,False,False,True,False,True,14.74697018437327,10,5,1
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,9.8,20.0,Blue,Sapphire,['Date'],60.0,22000.0,1,10,1,4.18366920033755,5,1,1,2,1,3,0,False,False,True,False,False,12.55100760101265,10,5,1
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60,45.0,15.0,20.0,Black,Sapphire,['Chronograph'],68.0,7500.0,3,14,1,2.9999980000013333,3,0,1,2,1,0,2,False,False,False,False,True,0.0,0,0,0
Blancpain,Fifty Fathoms,Titanium,Fabric,Automatic,225,45.0,15.4,23.0,Black,Sapphire,['Date'],102.5,14500.0,1,12,1,2.922076024625958,3,0,1,2,1,0,1,False,False,False,True,False,0.0,0,0,0
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150,41.0,11.0,22.0,Silver,Sapphire,['Date'],60.0,21500.0,1,10,1,3.727269338846056,3,1,1,2,1,3,2,False,False,True,False,True,11.181808016538167,10,3,1
Zenith,El Primero,Stainless Steel,Leather,Automatic,100,42.0,12.75,20.0,Black,Sapphire,['Chronograph'],50.0,7500.0,3,14,1,3.294115063439166,3,0,1,2,1,2,2,False,True,False,False,True,6.588230126878332,0,0,0
Hublot,Big Bang,Titanium,Rubber,Automatic,100,44.0,14.5,22.0,Black,Sapphire,['Chronograph'],72.0,15000.0,3,15,1,3.034480665875403,3,0,1,2,1,1,2,True,False,False,False,True,3.034480665875403,0,0,0
Breguet,Classique,Rose Gold,Leather,Automatic,30,39.0,10.2,22.0,Silver,Sapphire,['None'],40.0,18000.0,0,14,1,3.8235256632101344,3,0,1,1,0,0,0,False,False,False,False,False,0.0,0,0,0
Chopard,Happy Sport,Stainless Steel,Leather,Quartz,30,37.0,10.5,17.0,White,Sapphire,['None'],55.0,5000.0,0,11,0,3.5238061678036496,4,0,1,1,0,1,0,True,False,False,False,False,3.5238061678036496,0,0,0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,41.0,10.88,22.0,Blue,Sapphire,['Date'],54.0,11500.0,1,10,1,3.7683788893576384,5,1,1,2,1,0,2,False,False,False,False,True,0.0,10,0,1
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,225,44.0,15.65,24.0,Black,Sapphire,['Date'],72.0,8000.0,1,12,1,2.8114998009585936,3,0,1,2,1,1,1,True,False,False,True,False,2.8114998009585936,0,0,0
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200,41.0,14.75,22.0,Black,Sapphire,['None'],70.0,3800.0,0,11,1,2.7796591324344866,3,0,1,2,0,1,1,True,False,False,True,False,2.7796591324344866,0,0,0
Panerai,Luminor,Stainless Steel,Leather,Manual,100,44.0,13.05,24.0,Black,Sapphire,['None'],56.0,6400.0,0,11,1,3.3716449259425856,3,0,1,2,0,1,2,True,False,False,False,True,3.3716449259425856,0,0,0
IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.0,12.3,22.0,Silver,Sapphire,['Date'],60.0,8900.0,1,12,1,3.333330623308436,3,0,1,2,1,0,0,False,False,False,False,False,0.0,0,0,0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,9.8,20.0,Blue,Sapphire,['Date'],60.0,20400.0,1,10,1,4.18366920033755,5,1,1,2,1,3,0,False,False,True,False,False,12.55100760101265,10,5,1
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150,41.0,11.0,21.0,Blue,Sapphire,['Date'],60.0,22000.0,1,11,1,3.727269338846056,5,0,1,2,1,3,2,False,False,True,False,True,11.181808016538167,0,5,0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.8,8.3,21.0,Blue,Sapphire,['Date'],45.0,32750.0,1,10,1,4.915656728124423,5,1,1,2,1,3,2,False,False,True,False,True,14.74697018437327,10,5,1
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,225,45.0,15.5,23.0,Black,Sapphire,['Date'],102.5,14900.0,1,10,1,2.903223933403914,3,0,1,2,1,0,1,False,False,False,True,False,0.0,0,0,0
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50,42.0,12.67,20.0,Silver,Sapphire,['Chronograph'],42.0,5900.0,3,14,1,3.3149145107225646,3,0,1,2,1,1,0,True,False,False,False,False,3.3149145107225646,0,0,0
Longines,Master Collection,Stainless Steel,Leather,Automatic,30,40.0,9.35,20.0,Silver,Sapphire,['Date'],64.0,1500.0,1,12,1,4.278070290833914,3,0,1,1,1,1,0,True,False,False,False,False,4.278070290833914,0,0,0
Montblanc,Heritage,Stainless Steel,Leather,Automatic,50,40.0,9.85,20.0,Black,Sapphire,['Date'],38.0,2700.0,1,12,1,4.060909582832911,3,0,1,1,1,1,0,True,False,False,False,False,4.060909582832911,0,0,0
Zenith,El Primero,Stainless Steel,Leather,Automatic,100,42.0,12.75,20.0,Black,Sapphire,['Chronograph'],50.0,6500.0,3,14,1,3.294115063439166,3,0,1,2,1,2,2,False,True,False,False,True,6.588230126878332,0,0,0
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100,41.0,11.8,21.0,Blue,Sapphire,['Date'],70.0,7800.0,1,10,1,3.474573326632774,5,1,1,2,1,0,2,False,False,False,False,True,0.0,10,0,1
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50,42.0,13.75,20.0,Black,Sapphire,"['Chronograph', 'Date']",48.0,5300.0,4,13,1,3.054543233059467,3,1,1,2,1,0,0,False,False,False,False,False,0.0,13,0,1
Tag Heuer,Monaco,Stainless Steel,Leather,Automatic,100,39.0,14.5,22.0,Blue,Sapphire,['Chronograph'],42.0,5900.0,3,14,1,2.6896533174804707,5,0,1,1,1,1,2,True,False,False,False,True,2.6896533174804707,0,0,0
Breitling,Superocean,Stainless Steel,Rubber,Automatic,225,44.0,14.21,22.0,Blue,Sapphire,['Date'],38.0,3800.0,1,11,1,3.096408799149332,5,0,1,2,1,1,1,True,False,False,True,False,3.096408799149332,0,0,0
Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30,42.0,13.0,22.0,Silver,Sapphire,['Date'],42.0,7500.0,1,10,1,3.230766745564042,3,1,1,2,1,1,0,True,False,False,False,False,3.230766745564042,10,0,1
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50,39.0,7.5,20.0,White,Sapphire,['Date'],38.0,6200.0,1,12,1,5.199993066675911,4,0,1,1,1,0,0,False,False,False,False,False,0.0,0,0,0
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100,40.0,12.5,20.0,Black,Sapphire,"['GMT', 'Date']",70.0,9500.0,3,12,1,3.199997440002048,3,1,1,1,1,0,2,False,False,False,False,True,0.0,12,0,1
Omega,Aqua Terra,Stainless Steel,Stainless Steel,Automatic,150,41.5,13.0,20.0,Silver,Sapphire,['Date'],60.0,4700.0,1,10,1,3.1923052366882794,3,1,1,2,1,0,2,False,False,False,False,True,0.0,10,0,1
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Automatic,225,41.0,12.5,20.0,Black,Sapphire,['Date'],38.0,2700.0,1,10,1,3.2799973760020995,3,1,1,2,1,1,1,True,False,False,True,False,3.2799973760020995,10,0,1
Breitling,Avenger II,Stainless Steel,Rubber,Automatic,225,43.0,16.5,22.0,Black,Sapphire,"['Chronograph', 'Date']",42.0,4600.0,4,14,1,2.606059026630893,3,0,1,2,1,1,1,True,False,False,True,False,2.606059026630893,0,0,0
Cartier,Santos,Stainless Steel,Leather,Automatic,100,37.0,8.83,22.0,Silver,Sapphire,['Date'],42.0,5300.0,1,12,1,4.190255730174711,3,0,1,1,1,1,2,True,False,False,False,True,4.190255730174711,0,0,0
Rolex,Daytona,Yellow Gold,Leather,Automatic,100,40.0,12.4,20.0,Others,Sapphire,['Chronograph'],72.0,32750.0,3,17,1,3.225803850158185,2,0,1,1,1,0,2,False,False,False,False,True,0.0,0,0,0
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50,42.0,14.3,20.0,Black,Sapphire,['Chronograph'],48.0,5400.0,3,12,1,2.9370608831742073,3,1,1,2,1,0,0,False,False,False,False,False,0.0,12,0,1
TAG Heuer,Monaco,Stainless Steel,Leather,Automatic,100,39.0,14.0,22.0,Blue,Sapphire,['Chronograph'],42.0,6550.0,3,14,1,2.785712295919789,5,0,1,1,1,1,2,True,False,False,False,True,2.785712295919789,0,0,0
Cartier,Santos-Dumont,Stainless Steel,Leather,Quartz,30,43.5,7.3,23.0,Silver,Sapphire,['None'],55.0,5300.0,0,11,0,5.958895946717882,3,0,1,2,0,1,0,True,False,False,False,False,5.958895946717882,0,0,0
Breitling,Superocean,Stainless Steel,Rubber,Automatic,225,42.0,13.32,20.0,Blue,Sapphire,['Date'],38.0,3850.0,1,11,1,3.1531507859228336,5,0,1,2,1,1,1,True,False,False,True,False,3.1531507859228336,0,0,0
Patek Philippe,Calatrava,White Gold,Leather,Automatic,30,39.0,8.25,20.0,Silver,Sapphire,['None'],48.0,25800.0,0,14,1,4.727266997252125,3,0,1,1,0,3,0,False,False,True,False,False,14.181800991756374,0,3,0
Tudor,Black Bay,Stainless Steel,Fabric,Automatic,200,41.0,11.9,22.0,Black,Sapphire,['Date'],70.0,4100.0,1,10,1,3.4453752559871798,3,0,1,2,1,1,1,True,False,False,True,False,3.4453752559871798,0,0,0
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,225,45.0,15.5,23.0,Black,Sapphire,['Date'],102.5,12900.0,1,11,1,2.903223933403914,3,0,1,2,1,0,1,False,False,False,True,False,0.0,0,0,0
IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.0,12.3,22.0,Blue,Sapphire,['None'],60.0,6900.0,0,11,1,3.333330623308436,5,0,1,2,0,0,0,False,False,False,False,False,0.0,0,0,0
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150,41.0,11.0,22.0,Blue,Sapphire,['Date'],40.0,19800.0,1,11,1,3.727269338846056,5,0,1,2,1,3,2,False,False,True,False,True,11.181808016538167,0,5,0
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100,37.0,12.0,20.0,Black,Sapphire,['Date'],70.0,8100.0,1,10,1,3.08333076389103,3,1,1,1,1,0,2,False,False,False,False,True,0.0,10,0,1
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100,37.0,12.5,20.0,Black,Sapphire,['Date'],70.0,6500.0,1,10,1,2.9599976320018944,3,1,1,1,1,0,2,False,False,False,False,True,0.0,10,0,1
Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,50,42.0,14.3,20.0,Black,Non-Sapphire,['Chronograph'],48.0,5400.0,3,9,1,2.9370608831742073,3,1,1,2,1,0,0,False,False,False,False,False,0.0,9,0,1
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.5,8.3,20.0,Blue,Sapphire,['Date'],55.0,32750.0,1,10,1,4.879512193358803,5,1,1,2,1,3,2,False,False,True,False,True,14.638536580076408,10,5,1
Cartier,Ballon Bleu,Rose Gold,Leather,Automatic,30,37.0,9.96,18.0,Silver,Sapphire,['Date'],42.0,13200.0,1,15,1,3.714855707976197,3,0,1,1,1,1,0,True,False,False,False,False,3.714855707976197,0,0,0
Hublot,Classic Fusion,Rose Gold,Rubber,Automatic,50,42.0,10.5,22.0,Blue,Sapphire,['None'],42.0,20200.0,0,13,1,3.999996190479819,5,0,1,2,0,1,0,True,False,False,False,False,3.999996190479819,0,0,0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,10.4,20.0,Blue,Sapphire,['Date'],60.0,24800.0,1,10,1,3.9423039016308636,5,1,1,2,1,3,0,False,False,True,False,False,11.826911704892591,10,5,1
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60,41.0,12.8,22.0,Black,Sapphire,['Date'],42.0,4800.0,1,12,1,3.203122497560549,3,0,1,2,1,0,2,False,False,False,False,True,0.0,0,0,0
Tudor,Black Bay GMT,Stainless Steel,Stainless Steel,Automatic,200,41.0,14.5,22.0,Black,Sapphire,['GMT'],70.0,4000.0,2,11,1,2.8275842568384437,3,1,1,2,1,1,1,True,False,False,True,False,2.8275842568384437,11,0,1
Breguet,Classique,White Gold,Leather,Manual,30,40.0,6.95,20.0,White,Sapphire,['None'],65.0,22500.0,0,14,1,5.7553874023202845,4,0,1,1,0,0,0,False,False,False,False,False,0.0,0,0,0
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,225,45.0,15.4,23.0,Black,Sapphire,['Date'],102.5,12500.0,1,11,1,2.922076024625958,3,0,1,2,1,0,1,False,False,False,True,False,0.0,0,0,0
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50,42.0,12.67,22.0,Black,Sapphire,['Chronograph'],42.0,6900.0,3,14,1,3.3149145107225646,3,0,1,2,1,1,0,True,False,False,False,False,3.3149145107225646,0,0,0
Panerai,Luminor,Titanium,Leather,Automatic,100,44.0,15.65,24.0,Black,Sapphire,['None'],72.0,7500.0,0,13,1,2.8114998009585936,3,0,1,2,0,1,2,True,False,False,False,True,2.8114998009585936,0,0,0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,10.4,20.0,Blue,Sapphire,"['Date', 'Stopwatch']",60.0,25000.0,2,11,1,3.9423039016308636,5,1,1,2,1,3,0,False,False,True,False,False,11.826911704892591,11,5,1
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.5,8.3,22.0,Blue,Sapphire,"['Date', 'Moon Phase']",45.0,32750.0,3,12,1,4.879512193358803,5,1,1,2,1,3,2,False,False,True,False,True,14.638536580076408,12,5,1
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60,41.0,10.8,20.0,Black,Sapphire,"['Date', 'Stopwatch']",42.0,5500.0,2,13,1,3.7962927812103877,3,0,1,2,1,0,2,False,False,False,False,True,0.0,0,0,0
Blancpain,Fifty Fathoms,Titanium,Fabric,Automatic,225,45.0,15.4,23.0,Black,Sapphire,['Date'],102.5,12000.0,1,12,1,2.922076024625958,3,0,1,2,1,0,1,False,False,False,True,False,0.0,0,0,0
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100,44.0,14.4,22.0,Blue,Sapphire,"['Date', 'Power Reserve']",60.0,7500.0,3,13,1,3.055553433643449,5,0,1,2,1,1,2,True,False,False,False,True,3.055553433643449,0,0,0
Breguet,Classique,Rose Gold,Leather,Automatic,30,38.0,8.25,20.0,Silver,Sapphire,['None'],45.0,20000.0,0,14,1,4.606055022963608,3,0,1,1,0,0,0,False,False,False,False,False,0.0,0,0,0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,38.0,10.88,22.0,Black,Sapphire,['None'],46.0,8500.0,0,9,1,3.492643848672933,3,1,1,1,0,0,2,False,False,False,False,True,0.0,9,0,1
Hublot,Big Bang,Ceramic,Rubber,Automatic,100,42.0,14.1,24.0,Black,Sapphire,"['Date', 'Chronograph']",42.0,12000.0,4,16,1,2.978721291687027,3,0,1,2,1,1,2,True,False,False,False,True,2.978721291687027,0,0,0
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,100,42.0,14.05,20.0,Silver,Sapphire,"['Date', 'Chronograph']",50.0,6000.0,4,15,1,2.9893217157852554,3,0,1,2,1,2,2,False,True,False,False,True,5.978643431570511,0,0,0
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150,41.0,11.0,22.0,Blue,Sapphire,['Date'],40.0,12000.0,1,11,1,3.727269338846056,5,0,1,2,1,3,2,False,False,True,False,True,11.181808016538167,0,5,0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,10.4,20.0,Black,Sapphire,['Date'],60.0,22000.0,1,10,1,3.9423039016308636,3,1,1,2,1,3,0,False,False,True,False,False,11.826911704892591,10,3,1
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50,42.0,10.5,22.0,Blue,Sapphire,['Date'],42.0,8500.0,1,13,1,3.999996190479819,5,0,1,2,1,1,0,True,False,False,False,False,3.999996190479819,0,0,0
Panerai,Luminor Marina,Stainless Steel,Leather,Manual,225,44.0,15.65,24.0,Black,Sapphire,['None'],56.0,7200.0,0,11,1,2.8114998009585936,3,0,1,2,0,1,1,True,False,False,True,False,2.8114998009585936,0,0,0
Breguet,Classique,White Gold,Leather,Manual,30,40.0,6.1,20.0,Silver,Sapphire,['None'],65.0,16000.0,0,14,1,6.55736629939951,3,0,1,1,0,0,0,False,False,False,False,False,0.0,0,0,0
Chopard,Happy Sport,Stainless Steel,Stainless Steel,Quartz,30,37.0,7.2,17.0,Silver,Sapphire,['Date'],55.0,5800.0,1,10,0,5.138881751553123,3,1,1,1,1,1,0,True,False,False,False,False,5.138881751553123,10,0,1
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100,42.2,12.6,22.0,Blue,Sapphire,['Date'],60.0,8900.0,1,11,1,3.349203691108182,5,0,1,2,1,1,2,True,False,False,False,True,3.349203691108182,0,0,0
IWC,Portugieser Chronograph,Stainless Steel,Leather,Automatic,30,41.0,13.1,20.0,White,Sapphire,['Chronograph'],46.0,7600.0,3,14,1,3.129768603230074,4,0,1,2,1,0,0,False,False,False,False,False,0.0,0,0,0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.8,8.3,20.0,Blue,Sapphire,['Date'],45.0,32750.0,1,10,1,4.915656728124423,5,1,1,2,1,3,2,False,False,True,False,True,14.74697018437327,10,5,1
Montblanc,1858 Geosphere,Titanium,Leather,Automatic,100,42.0,12.8,22.0,Black,Sapphire,['GMT'],42.0,6500.0,2,15,1,3.2812474365254403,3,0,1,2,1,1,2,True,False,False,False,True,3.2812474365254403,0,0,0
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150,41.5,11.0,22.0,Blue,Sapphire,['Date'],60.0,21000.0,1,10,1,3.7727238429783245,5,1,1,2,1,3,2,False,False,True,False,True,11.318171528934974,10,5,1
Zenith,Chronomaster El Primero,Stainless Steel,Leather,Automatic,100,38.0,12.45,20.0,Silver,Sapphire,['Chronograph'],50.0,6000.0,3,14,1,3.052206383769973,3,0,1,1,1,2,2,False,True,False,False,True,6.104412767539946,0,0,0
Rolex,Daytona,Yellow Gold,Leather,Automatic,100,40.0,12.4,20.0,Others,Sapphire,['Chronograph'],72.0,29500.0,3,17,1,3.225803850158185,2,0,1,1,1,0,2,False,False,False,False,True,0.0,0,0,0
Audemars Piguet,Royal Oak,Rose Gold,Gold,Automatic,50,37.0,9.8,18.0,Blue,Sapphire,['None'],60.0,32750.0,0,15,1,3.775506351524131,5,0,1,1,0,3,0,False,False,True,False,False,11.326519054572394,0,5,0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.5,8.3,22.0,Blue,Sapphire,['Date'],45.0,32750.0,1,10,1,4.879512193358803,5,1,1,2,1,3,2,False,False,True,False,True,14.638536580076408,10,5,1
IWC,Portuguese,Stainless Steel,Leather,Automatic,30,42.3,14.2,22.0,White,Sapphire,['Date'],60.0,8800.0,1,12,1,2.9788711416400413,4,0,1,2,1,0,0,False,False,False,False,False,0.0,0,0,0
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,225,45.0,15.4,23.0,Black,Sapphire,['Date'],102.5,13500.0,1,11,1,2.922076024625958,3,0,1,2,1,0,1,False,False,False,True,False,0.0,0,0,0
Hublot,Big Bang,Carbon Fiber,Rubber,Automatic,100,44.0,14.5,22.0,Black,Sapphire,['Chronograph'],72.0,19500.0,3,15,1,3.034480665875403,3,0,1,2,1,1,2,True,False,False,False,True,3.034480665875403,0,0,0
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100,43.0,12.6,22.0,Blue,Sapphire,['Date'],60.0,7000.0,1,11,1,3.4126957042097588,5,0,1,2,1,1,2,True,False,False,False,True,3.4126957042097588,0,0,0
Breguet,Classique,White Gold,Leather,Manual,30,38.0,7.45,20.0,Silver,Sapphire,['None'],65.0,23000.0,0,14,1,5.100664294410343,3,0,1,1,0,0,0,False,False,False,False,False,0.0,0,0,0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,42.0,10.88,25.0,Black,Sapphire,['Date'],46.0,9500.0,1,10,1,3.8602905695858736,3,1,1,2,1,0,2,False,False,False,False,True,0.0,10,0,1
Piaget,Altiplano,White Gold,Leather,Manual,30,40.0,6.36,20.0,Silver,Sapphire,['None'],43.0,18500.0,0,14,1,6.289298287266844,3,0,1,1,0,2,0,False,True,False,False,False,12.578596574533687,0,0,0
Vacheron Constantin,Patrimony,Rose Gold,Leather,Manual,30,42.0,7.65,20.0,Silver,Sapphire,['None'],65.0,22500.0,0,14,1,5.490188901713854,3,0,1,2,0,3,0,False,False,True,False,False,16.47056670514156,0,3,0
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,225,44.0,15.65,22.0,Black,Sapphire,"['Date', 'GMT']",72.0,7500.0,3,14,1,2.8114998009585936,3,0,1,2,1,1,1,True,False,False,True,False,2.8114998009585936,0,0,0
IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.0,12.3,22.0,Blue,Sapphire,['Date'],60.0,6500.0,1,12,1,3.333330623308436,5,0,1,2,1,0,0,False,False,False,False,False,0.0,0,0,0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,9.8,20.0,Blue,Sapphire,['Date'],60.0,20000.0,1,10,1,4.18366920033755,5,1,1,2,1,3,0,False,False,True,False,False,12.55100760101265,10,5,1
Hublot,Big Bang,Carbon Fiber,Rubber,Automatic,100,44.0,14.5,25.0,Black,Sapphire,['Chronograph'],72.0,12000.0,3,15,1,3.034480665875403,3,0,1,2,1,1,2,True,False,False,False,True,3.034480665875403,0,0,0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,42.0,10.88,22.0,Blue,Sapphire,['Date'],54.0,6500.0,1,10,1,3.8602905695858736,5,1,1,2,1,0,2,False,False,False,False,True,0.0,10,0,1
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50,42.0,11.43,22.0,Black,Sapphire,['Chronograph'],48.0,6200.0,3,14,1,3.6745374675962665,3,0,1,2,1,1,0,True,False,False,False,False,3.6745374675962665,0,0,0
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150,41.0,11.0,22.0,Blue,Sapphire,['Date'],60.0,15000.0,1,10,1,3.727269338846056,5,1,1,2,1,3,2,False,False,True,False,True,11.181808016538167,10,5,1
Piaget,Altiplano,White Gold,Leather,Manual,30,40.0,6.36,20.0,Silver,Sapphire,['None'],44.0,22000.0,0,14,1,6.289298287266844,3,0,1,1,0,2,0,False,True,False,False,False,12.578596574533687,0,0,0
Zenith,El Primero,Stainless Steel,Leather,Automatic,100,42.0,12.75,22.0,Black,Sapphire,['Chronograph'],50.0,5500.0,3,14,1,3.294115063439166,3,0,1,2,1,2,2,False,True,False,False,True,6.588230126878332,0,0,0
Breguet,Classique,White Gold,Leather,Automatic,30,39.0,10.2,22.0,Silver,Sapphire,['None'],45.0,19000.0,0,14,1,3.8235256632101344,3,0,1,1,0,0,0,False,False,False,False,False,0.0,0,0,0
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200,41.0,12.7,22.0,Black,Sapphire,['None'],70.0,3500.0,0,11,1,3.228343914689831,3,0,1,2,0,1,1,True,False,False,True,False,3.228343914689831,0,0,0
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100,37.0,12.5,20.0,Blue,Sapphire,"['Date', 'Cyclops']",70.0,7400.0,2,11,1,2.9599976320018944,5,1,1,1,1,0,2,False,False,False,False,True,0.0,11,0,1
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50,42.0,14.3,20.0,Black,Non-Sapphire,['Chronograph'],48.0,5000.0,3,9,1,2.9370608831742073,3,1,1,2,1,0,0,False,False,False,False,False,0.0,9,0,1
