Brand,Model,Case Material,Strap Material,Crystal Material,Dial Color,Case Diameter,Case Thickness,Band Width,Case_Size_Category,Case_Proportion,Movement Type,Movement_Complexity,Power Reserve,Complications,Has_Complication,Water Resistance,Water_Tier,Dial_Score,Complication_Score,Material_Match,Luxury_Index,Brand_Tier,Model_Tier,Brand_Tier_label_encoded,Model_Tier_label_encoded,Brand_Tier_target_encoded,Model_Tier_target_encoded,Brand_Case,Brand_Crystal,Material_Crystal_Movement,Price
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Sapphire,Blue,41.0,9.8,20.0,2,4.18366920033755,Automatic,1,60.0,['Date'],1,50,Basic,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,12.55100760101265,3,3,24500.0
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Sapphire,Silver,41.5,11.0,21.0,2,3.7727238429783245,Automatic,1,40.0,['Date'],1,150,Standard,3,1,0,11,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.318171528934974,3,2,19500.0
Breguet,Classique,White Gold,Leather,Sapphire,Silver,39.0,8.65,20.0,1,4.508665307901378,Automatic,1,55.0,['Date'],1,30,Basic,3,1,0,15,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,24500.0
Piaget,Altiplano,Rose Gold,Leather,Sapphire,White,38.0,6.0,20.0,1,6.333322777795371,Manual,1,43.0,['None'],0,30,Basic,4,0,0,14,Other,Other,2,2,6734.697638357517,5907.872360090675,12.666645555590742,2,2,20800.0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Sapphire,Black,45.0,15.5,23.0,2,2.903223933403914,Automatic,1,102.5,['Date'],1,225,Professional,3,1,0,10,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,13000.0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Sapphire,Black,41.0,10.88,22.0,2,3.7683788893576384,Automatic,1,46.0,['Date'],1,100,Standard,3,1,1,10,High-End,Mid-Range,0,1,10600.00009784788,7596.0792482079405,0.0,0,3,9700.0
Zenith,Chronomaster,Stainless Steel,Leather,Sapphire,Silver,42.0,14.05,22.0,2,2.9893217157852554,Automatic,1,50.0,['Chronograph'],1,50,Basic,3,3,0,14,Other,Other,2,2,6734.697638357517,5907.872360090675,5.978643431570511,2,2,7400.0
Breitling,Superocean Heritage II,Stainless Steel,Rubber,Sapphire,Black,44.0,14.2,22.0,2,3.098589367190587,Automatic,1,70.0,['Date'],1,200,Professional,3,1,0,11,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.098589367190587,1,2,4300.0
Cartier,Santos de Cartier,Stainless Steel,Stainless Steel,Sapphire,Silver,39.8,9.08,20.0,1,4.383255084520832,Automatic,1,42.0,['Date'],1,100,Standard,3,1,1,10,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,4.383255084520832,1,3,6500.0
Omega,Speedmaster,Stainless Steel,Leather,Non-Sapphire,Black,42.0,13.7,20.0,2,3.065691192926137,Manual,1,48.0,['Chronograph'],1,50,Basic,3,3,0,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,1,5500.0
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Sapphire,Black,40.0,12.4,20.0,1,3.225803850158185,Automatic,1,70.0,"['GMT', 'Date']",1,100,Standard,3,3,1,12,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,3,9100.0
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Sapphire,Silver,40.0,8.8,20.0,1,4.545449380171159,Automatic,1,70.0,['Date'],1,50,Basic,3,1,0,12,High-End,Other,0,2,10600.00009784788,5907.872360090675,0.0,0,2,7500.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Sapphire,Blue,41.0,10.4,20.0,2,3.9423039016308636,Automatic,1,60.0,['Date'],1,50,Basic,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.826911704892591,3,3,20900.0
IWC,Pilot's Watch Mark XVIII,Stainless Steel,Leather,Sapphire,Black,40.0,10.8,20.0,1,3.703700274351598,Automatic,1,42.0,['Date'],1,60,Standard,3,1,0,12,High-End,Other,0,2,10600.00009784788,5907.872360090675,0.0,0,2,4200.0
Patek Philippe,Calatrava,White Gold,Leather,Sapphire,Silver,39.0,8.6,20.0,1,4.534878447815759,Automatic,1,48.0,['Date'],1,30,Basic,3,1,0,15,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,13.604635343447276,3,2,22000.0
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Sapphire,Blue,37.0,9.5,17.0,1,3.894732742386587,Quartz,0,55.0,['None'],0,225,Professional,5,0,1,9,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.894732742386587,1,2,1700.0
Tudor,Black Bay,Stainless Steel,Leather,Sapphire,Black,41.0,12.7,22.0,2,3.228343914689831,Automatic,1,70.0,['Date'],1,200,Professional,3,1,0,12,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.228343914689831,1,2,3600.0
Rolex,Datejust,Stainless Steel,Stainless Steel,Sapphire,Silver,37.0,12.5,20.0,1,2.9599976320018944,Automatic,1,70.0,['Date'],1,100,Standard,3,1,1,10,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,3,8900.0
Omega,Speedmaster,Stainless Steel,Stainless Steel,Sapphire,Black,42.0,13.5,20.0,2,3.1111088065860693,Automatic,1,60.0,['Chronograph'],1,50,Basic,3,3,1,12,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,3,6800.0
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Sapphire,Blue,43.0,10.8,21.0,2,3.9814777949279674,Quartz,0,55.0,['Date'],1,225,Professional,5,1,1,10,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.9814777949279674,1,2,2600.0
Breitling,Superocean Heritage,Stainless Steel,Leather,Sapphire,Black,42.0,14.35,20.0,2,2.9268272286918267,Automatic,1,38.0,['Date'],1,200,Professional,3,1,0,12,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,2.9268272286918267,1,2,4400.0
Cartier,Ballon Bleu,Rose Gold,Leather,Sapphire,Silver,37.0,9.96,18.0,1,3.714855707976197,Automatic,1,42.0,['Date'],1,30,Basic,3,1,0,15,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.714855707976197,1,2,13000.0
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Sapphire,Silver,39.0,8.5,20.0,1,4.588229896200122,Automatic,1,70.0,['Date'],1,50,Basic,3,1,0,12,High-End,Other,0,2,10600.00009784788,5907.872360090675,0.0,0,2,7500.0
Tudor,Black Bay GMT,Stainless Steel,Stainless Steel,Sapphire,Black,41.0,14.5,22.0,2,2.8275842568384437,Automatic,1,70.0,['GMT'],1,200,Professional,3,2,1,11,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,2.8275842568384437,1,3,4500.0
Zenith,El Primero,Stainless Steel,Leather,Sapphire,White,38.0,12.45,19.0,1,3.052206383769973,Automatic,1,50.0,['Chronograph'],1,100,Standard,4,3,0,14,Other,High-End,2,0,6734.697638357517,10828.963771655724,6.104412767539946,2,2,6900.0
Longines,HydroConquest,Stainless Steel,Stainless Steel,Sapphire,Black,41.0,12.65,20.0,2,3.2411041572299153,Automatic,1,64.0,['Date'],1,225,Professional,3,1,1,10,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.2411041572299153,1,3,1800.0
Oris,Divers Sixty-Five,Stainless Steel,Leather,Sapphire,Blue,40.0,12.9,20.0,1,3.1007727900986124,Automatic,1,38.0,['Date'],1,100,Standard,5,1,0,12,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.1007727900986124,1,2,1500.0
Hamilton,Khaki Field,Stainless Steel,NATO,Sapphire,Black,38.0,9.7,20.0,1,3.9175217345136764,Automatic,1,80.0,['None'],0,100,Standard,3,0,0,9,Other,Mid-Range,2,1,6734.697638357517,7596.0792482079405,7.835043469027353,2,2,595.0
Panerai,Luminor Marina,Stainless Steel,Leather,Sapphire,Black,42.0,13.2,22.0,2,3.1818157713516886,Automatic,1,72.0,['Date'],1,225,Professional,3,1,0,12,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.1818157713516886,1,2,7500.0
IWC,Pilot's Watch,Stainless Steel,Leather,Sapphire,Black,41.0,15.3,22.0,2,2.6797368106295356,Automatic,1,72.0,['Date'],1,60,Standard,3,1,0,12,High-End,Other,0,2,10600.00009784788,5907.872360090675,0.0,0,2,5400.0
Patek Philippe,Calatrava,White Gold,Leather,Sapphire,White,37.0,7.7,20.0,1,4.805188564690176,Manual,1,44.0,['None'],0,30,Basic,4,0,0,14,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,14.415565694070526,3,2,25000.0
Hublot,Big Bang,Carbon Fiber,Rubber,Sapphire,Black,44.0,14.5,25.0,2,3.034480665875403,Automatic,1,72.0,['Chronograph'],1,100,Standard,3,3,0,15,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.034480665875403,1,2,15000.0
Zenith,Chronomaster,Stainless Steel,Leather,Sapphire,Silver,38.0,12.6,20.0,1,3.015870622324903,Automatic,1,50.0,['Chronograph'],1,50,Basic,3,3,0,14,Other,Other,2,2,6734.697638357517,5907.872360090675,6.031741244649806,2,2,7500.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Sapphire,Blue,41.0,9.8,20.0,2,4.18366920033755,Automatic,1,60.0,['Date'],1,50,Basic,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,12.55100760101265,3,3,25000.0
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Sapphire,Blue,41.0,11.0,22.0,2,3.727269338846056,Automatic,1,40.0,['Date'],1,50,Basic,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.181808016538167,3,3,18000.0
Breguet,Classique,White Gold,Leather,Sapphire,Silver,39.0,8.65,21.0,1,4.508665307901378,Automatic,1,55.0,['None'],0,30,Basic,3,0,0,14,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,20000.0
Ulysse Nardin,Marine,Stainless Steel,Rubber,Sapphire,Blue,42.0,12.8,22.0,2,3.2812474365254403,Automatic,1,60.0,['Date'],1,100,Standard,5,1,0,11,Mid-Range,High-End,1,0,6528.445154051944,10828.963771655724,3.2812474365254403,1,2,8500.0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Sapphire,Black,45.0,15.5,23.0,2,2.903223933403914,Automatic,1,102.5,['None'],0,225,Professional,3,0,0,9,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,10500.0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Sapphire,Black,42.0,10.88,22.0,2,3.8602905695858736,Automatic,1,54.0,['Date'],1,100,Standard,3,1,1,10,High-End,Mid-Range,0,1,10600.00009784788,7596.0792482079405,0.0,0,3,9000.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Sapphire,Blue,40.8,8.3,21.0,2,4.915656728124423,Automatic,1,55.0,['Date'],1,120,Standard,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,14.74697018437327,3,3,32750.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Sapphire,Blue,41.0,9.8,20.0,2,4.18366920033755,Automatic,1,60.0,['Date'],1,50,Basic,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,12.55100760101265,3,3,22000.0
IWC,Pilot's Watch,Stainless Steel,Leather,Sapphire,Black,45.0,15.0,20.0,2,2.9999980000013333,Automatic,1,68.0,['Chronograph'],1,60,Standard,3,3,0,14,High-End,Other,0,2,10600.00009784788,5907.872360090675,0.0,0,2,7500.0
Blancpain,Fifty Fathoms,Titanium,Fabric,Sapphire,Black,45.0,15.4,23.0,2,2.922076024625958,Automatic,1,102.5,['Date'],1,225,Professional,3,1,0,12,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,14500.0
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Sapphire,Silver,41.0,11.0,22.0,2,3.727269338846056,Automatic,1,60.0,['Date'],1,150,Standard,3,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.181808016538167,3,3,21500.0
Zenith,El Primero,Stainless Steel,Leather,Sapphire,Black,42.0,12.75,20.0,2,3.294115063439166,Automatic,1,50.0,['Chronograph'],1,100,Standard,3,3,0,14,Other,High-End,2,0,6734.697638357517,10828.963771655724,6.588230126878332,2,2,7500.0
Hublot,Big Bang,Titanium,Rubber,Sapphire,Black,44.0,14.5,22.0,2,3.034480665875403,Automatic,1,72.0,['Chronograph'],1,100,Standard,3,3,0,15,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.034480665875403,1,2,15000.0
Breguet,Classique,Rose Gold,Leather,Sapphire,Silver,39.0,10.2,22.0,1,3.8235256632101344,Automatic,1,40.0,['None'],0,30,Basic,3,0,0,14,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,18000.0
Chopard,Happy Sport,Stainless Steel,Leather,Sapphire,White,37.0,10.5,17.0,1,3.5238061678036496,Quartz,0,55.0,['None'],0,30,Basic,4,0,0,11,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.5238061678036496,1,1,5000.0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Sapphire,Blue,41.0,10.88,22.0,2,3.7683788893576384,Automatic,1,54.0,['Date'],1,100,Standard,5,1,1,10,High-End,Mid-Range,0,1,10600.00009784788,7596.0792482079405,0.0,0,3,11500.0
Panerai,Luminor Marina,Stainless Steel,Leather,Sapphire,Black,44.0,15.65,24.0,2,2.8114998009585936,Automatic,1,72.0,['Date'],1,225,Professional,3,1,0,12,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,2.8114998009585936,1,2,8000.0
Tudor,Black Bay,Stainless Steel,Leather,Sapphire,Black,41.0,14.75,22.0,2,2.7796591324344866,Automatic,1,70.0,['None'],0,200,Professional,3,0,0,11,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,2.7796591324344866,1,2,3800.0
Panerai,Luminor,Stainless Steel,Leather,Sapphire,Black,44.0,13.05,24.0,2,3.3716449259425856,Manual,1,56.0,['None'],0,100,Standard,3,0,0,11,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.3716449259425856,1,2,6400.0
IWC,Portugieser,Stainless Steel,Leather,Sapphire,Silver,41.0,12.3,22.0,2,3.333330623308436,Automatic,1,60.0,['Date'],1,30,Basic,3,1,0,12,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,8900.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Sapphire,Blue,41.0,9.8,20.0,2,4.18366920033755,Automatic,1,60.0,['Date'],1,50,Basic,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,12.55100760101265,3,3,20400.0
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Sapphire,Blue,41.0,11.0,21.0,2,3.727269338846056,Automatic,1,60.0,['Date'],1,150,Standard,5,1,0,11,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.181808016538167,3,2,22000.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Sapphire,Blue,40.8,8.3,21.0,2,4.915656728124423,Automatic,1,45.0,['Date'],1,120,Standard,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,14.74697018437327,3,3,32750.0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Sapphire,Black,45.0,15.5,23.0,2,2.903223933403914,Automatic,1,102.5,['Date'],1,225,Professional,3,1,0,10,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,14900.0
Chopard,Mille Miglia,Stainless Steel,Leather,Sapphire,Silver,42.0,12.67,20.0,2,3.3149145107225646,Automatic,1,42.0,['Chronograph'],1,50,Basic,3,3,0,14,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.3149145107225646,1,2,5900.0
Longines,Master Collection,Stainless Steel,Leather,Sapphire,Silver,40.0,9.35,20.0,1,4.278070290833914,Automatic,1,64.0,['Date'],1,30,Basic,3,1,0,12,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,4.278070290833914,1,2,1500.0
Montblanc,Heritage,Stainless Steel,Leather,Sapphire,Black,40.0,9.85,20.0,1,4.060909582832911,Automatic,1,38.0,['Date'],1,50,Basic,3,1,0,12,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,4.060909582832911,1,2,2700.0
Zenith,El Primero,Stainless Steel,Leather,Sapphire,Black,42.0,12.75,20.0,2,3.294115063439166,Automatic,1,50.0,['Chronograph'],1,100,Standard,3,3,0,14,Other,High-End,2,0,6734.697638357517,10828.963771655724,6.588230126878332,2,2,6500.0
Rolex,Datejust,Stainless Steel,Stainless Steel,Sapphire,Blue,41.0,11.8,21.0,2,3.474573326632774,Automatic,1,70.0,['Date'],1,100,Standard,5,1,1,10,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,3,7800.0
Omega,Speedmaster,Stainless Steel,Stainless Steel,Sapphire,Black,42.0,13.75,20.0,2,3.054543233059467,Automatic,1,48.0,"['Chronograph', 'Date']",1,50,Basic,3,4,1,13,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,3,5300.0
Tag Heuer,Monaco,Stainless Steel,Leather,Sapphire,Blue,39.0,14.5,22.0,1,2.6896533174804707,Automatic,1,42.0,['Chronograph'],1,100,Standard,5,3,0,14,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,2.6896533174804707,1,2,5900.0
Breitling,Superocean,Stainless Steel,Rubber,Sapphire,Blue,44.0,14.21,22.0,2,3.096408799149332,Automatic,1,38.0,['Date'],1,225,Professional,5,1,0,11,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.096408799149332,1,2,3800.0
Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Sapphire,Silver,42.0,13.0,22.0,2,3.230766745564042,Automatic,1,42.0,['Date'],1,30,Basic,3,1,1,10,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.230766745564042,1,3,7500.0
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Sapphire,White,39.0,7.5,20.0,1,5.199993066675911,Automatic,1,38.0,['Date'],1,50,Basic,4,1,0,12,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,6200.0
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Sapphire,Black,40.0,12.5,20.0,1,3.199997440002048,Automatic,1,70.0,"['GMT', 'Date']",1,100,Standard,3,3,1,12,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,3,9500.0
Omega,Aqua Terra,Stainless Steel,Stainless Steel,Sapphire,Silver,41.5,13.0,20.0,2,3.1923052366882794,Automatic,1,60.0,['Date'],1,150,Standard,3,1,1,10,High-End,Mid-Range,0,1,10600.00009784788,7596.0792482079405,0.0,0,3,4700.0
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Sapphire,Black,41.0,12.5,20.0,2,3.2799973760020995,Automatic,1,38.0,['Date'],1,225,Professional,3,1,1,10,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.2799973760020995,1,3,2700.0
Breitling,Avenger II,Stainless Steel,Rubber,Sapphire,Black,43.0,16.5,22.0,2,2.606059026630893,Automatic,1,42.0,"['Chronograph', 'Date']",1,225,Professional,3,4,0,14,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,2.606059026630893,1,2,4600.0
Cartier,Santos,Stainless Steel,Leather,Sapphire,Silver,37.0,8.83,22.0,1,4.190255730174711,Automatic,1,42.0,['Date'],1,100,Standard,3,1,0,12,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,4.190255730174711,1,2,5300.0
Rolex,Daytona,Yellow Gold,Leather,Sapphire,Others,40.0,12.4,20.0,1,3.225803850158185,Automatic,1,72.0,['Chronograph'],1,100,Standard,2,3,0,17,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,32750.0
Omega,Speedmaster,Stainless Steel,Stainless Steel,Sapphire,Black,42.0,14.3,20.0,2,2.9370608831742073,Manual,1,48.0,['Chronograph'],1,50,Basic,3,3,1,12,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,3,5400.0
TAG Heuer,Monaco,Stainless Steel,Leather,Sapphire,Blue,39.0,14.0,22.0,1,2.785712295919789,Automatic,1,42.0,['Chronograph'],1,100,Standard,5,3,0,14,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,2.785712295919789,1,2,6550.0
Cartier,Santos-Dumont,Stainless Steel,Leather,Sapphire,Silver,43.5,7.3,23.0,2,5.958895946717882,Quartz,0,55.0,['None'],0,30,Basic,3,0,0,11,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,5.958895946717882,1,1,5300.0
Breitling,Superocean,Stainless Steel,Rubber,Sapphire,Blue,42.0,13.32,20.0,2,3.1531507859228336,Automatic,1,38.0,['Date'],1,225,Professional,5,1,0,11,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.1531507859228336,1,2,3850.0
Patek Philippe,Calatrava,White Gold,Leather,Sapphire,Silver,39.0,8.25,20.0,1,4.727266997252125,Automatic,1,48.0,['None'],0,30,Basic,3,0,0,14,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,14.181800991756374,3,2,25800.0
Tudor,Black Bay,Stainless Steel,Fabric,Sapphire,Black,41.0,11.9,22.0,2,3.4453752559871798,Automatic,1,70.0,['Date'],1,200,Professional,3,1,0,10,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.4453752559871798,1,2,4100.0
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Sapphire,Black,45.0,15.5,23.0,2,2.903223933403914,Automatic,1,102.5,['Date'],1,225,Professional,3,1,0,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,12900.0
IWC,Portugieser,Stainless Steel,Leather,Sapphire,Blue,41.0,12.3,22.0,2,3.333330623308436,Automatic,1,60.0,['None'],0,30,Basic,5,0,0,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,6900.0
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Sapphire,Blue,41.0,11.0,22.0,2,3.727269338846056,Automatic,1,40.0,['Date'],1,150,Standard,5,1,0,11,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.181808016538167,3,2,19800.0
Rolex,Datejust,Stainless Steel,Stainless Steel,Sapphire,Black,37.0,12.0,20.0,1,3.08333076389103,Automatic,1,70.0,['Date'],1,100,Standard,3,1,1,10,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,3,8100.0
Rolex,Datejust,Stainless Steel,Stainless Steel,Sapphire,Black,37.0,12.5,20.0,1,2.9599976320018944,Automatic,1,70.0,['Date'],1,100,Standard,3,1,1,10,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,3,6500.0
Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Non-Sapphire,Black,42.0,14.3,20.0,2,2.9370608831742073,Manual,1,48.0,['Chronograph'],1,50,Basic,3,3,1,9,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,5400.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Sapphire,Blue,40.5,8.3,20.0,2,4.879512193358803,Automatic,1,55.0,['Date'],1,120,Standard,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,14.638536580076408,3,3,32750.0
Cartier,Ballon Bleu,Rose Gold,Leather,Sapphire,Silver,37.0,9.96,18.0,1,3.714855707976197,Automatic,1,42.0,['Date'],1,30,Basic,3,1,0,15,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.714855707976197,1,2,13200.0
Hublot,Classic Fusion,Rose Gold,Rubber,Sapphire,Blue,42.0,10.5,22.0,2,3.999996190479819,Automatic,1,42.0,['None'],0,50,Basic,5,0,0,13,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.999996190479819,1,2,20200.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Sapphire,Blue,41.0,10.4,20.0,2,3.9423039016308636,Automatic,1,60.0,['Date'],1,50,Basic,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.826911704892591,3,3,24800.0
IWC,Pilot's Watch,Stainless Steel,Leather,Sapphire,Black,41.0,12.8,22.0,2,3.203122497560549,Automatic,1,42.0,['Date'],1,60,Standard,3,1,0,12,High-End,Other,0,2,10600.00009784788,5907.872360090675,0.0,0,2,4800.0
Tudor,Black Bay GMT,Stainless Steel,Stainless Steel,Sapphire,Black,41.0,14.5,22.0,2,2.8275842568384437,Automatic,1,70.0,['GMT'],1,200,Professional,3,2,1,11,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,2.8275842568384437,1,3,4000.0
Breguet,Classique,White Gold,Leather,Sapphire,White,40.0,6.95,20.0,1,5.7553874023202845,Manual,1,65.0,['None'],0,30,Basic,4,0,0,14,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,22500.0
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Sapphire,Black,45.0,15.4,23.0,2,2.922076024625958,Automatic,1,102.5,['Date'],1,225,Professional,3,1,0,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,12500.0
Chopard,Mille Miglia,Stainless Steel,Leather,Sapphire,Black,42.0,12.67,22.0,2,3.3149145107225646,Automatic,1,42.0,['Chronograph'],1,50,Basic,3,3,0,14,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.3149145107225646,1,2,6900.0
Panerai,Luminor,Titanium,Leather,Sapphire,Black,44.0,15.65,24.0,2,2.8114998009585936,Automatic,1,72.0,['None'],0,100,Standard,3,0,0,13,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,2.8114998009585936,1,2,7500.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Sapphire,Blue,41.0,10.4,20.0,2,3.9423039016308636,Automatic,1,60.0,"['Date', 'Stopwatch']",1,50,Basic,5,2,1,11,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.826911704892591,3,3,25000.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Sapphire,Blue,40.5,8.3,22.0,2,4.879512193358803,Automatic,1,45.0,"['Date', 'Moon Phase']",1,120,Standard,5,3,1,12,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,14.638536580076408,3,3,32750.0
IWC,Pilot's Watch,Stainless Steel,Leather,Sapphire,Black,41.0,10.8,20.0,2,3.7962927812103877,Automatic,1,42.0,"['Date', 'Stopwatch']",1,60,Standard,3,2,0,13,High-End,Other,0,2,10600.00009784788,5907.872360090675,0.0,0,2,5500.0
Blancpain,Fifty Fathoms,Titanium,Fabric,Sapphire,Black,45.0,15.4,23.0,2,2.922076024625958,Automatic,1,102.5,['Date'],1,225,Professional,3,1,0,12,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,12000.0
